spotted,battles_on_stunning_vehicles,hits,battle_avg_xp,draws,max_xp,survived_battles,wins,losses,capture_points,battles,damage_dealt,damage_received,max_frags,shots,frags,max_damage,xp,avg_damage_assisted,piercings,user_id,nickname,wn8
3914,275,11050,264,33,1476,875,1926,2253,1707,4212,902766,2497342,7,22616,1275,1972,1113982,176.31,6956,529900098,xoActaeoNox_Destroyer,"225,00"
113458,974,513622,725,752,2847,21054,42122,33478,73671,76352,95981395,79124486,11,776677,87062,8673,55332073,541.15,276000,594773861,R1342,"1872,31"
13260,81,50596,350,62,2252,2008,5370,5632,10198,11064,6137582,7852949,9,85090,6715,4817,3871772,226.62,34763,519183124,nneessaaa,"878,59"
3809,0,29870,380,33,1591,1537,2483,2284,6583,4800,3303738,1979237,8,47036,4704,3800,1824400,217.41,19168,507121839,Ps531_10,"1430,17"
10187,30,57409,384,121,2027,2242,5654,6419,10411,12194,7563014,10238716,8,96412,6993,5729,4676669,222.41,36384,625273728,svadimss,"825,68"
1542,0,14339,293,46,1636,950,1346,1269,6098,2661,937909,849953,7,30131,2220,3739,779264,153.46,3378,508807964,PhantumTank,"805,63"
232,0,2488,210,5,1062,128,238,280,923,523,118199,210367,4,6095,225,2148,110059,77.83,1412,557399106,kacpilach2,"406,12"
17104,524,88311,351,175,2160,4637,7883,7913,9091,15971,9882779,9564368,8,191620,9988,5026,5609656,284.61,38317,507448795,velnias99,"996,46"
7964,1428,44071,416,137,1676,2971,5269,5572,7092,10978,7683673,10056458,10,78069,6448,6490,4562032,285.21,29246,604196373,Sarser1983,"774,14"
8191,0,47005,397,81,1909,2525,4759,4520,3870,9360,6751649,7112252,8,67158,8216,6560,3717199,265.2,33970,628958628,BAHO__strelok090914_3314,"1168,27"
1564,0,8893,183,11,884,341,785,889,4183,1685,275145,331540,6,17859,1101,880,308304,65.29,6606,620762769,arik801,"629,77"
9536,77,76563,474,102,2331,4343,6723,5698,24133,12523,10392795,5771570,12,125928,14079,6285,5929777,192.29,57085,514717355,adasian,"1555,51"
2607,0,18832,260,32,1658,1128,2080,2157,4303,4269,1336943,1982282,6,40897,2439,2478,1111298,122.39,11641,625450545,Rydboy_22633001,"572,94"
18016,2682,119295,539,360,2726,6496,12175,12534,25137,25069,21890070,22381824,8,214666,17266,7009,13523405,278.61,73621,502123359,Kalle1985,"1043,73"
3121,3,21404,499,37,2703,404,1171,1085,440,2293,2278550,2280726,9,33966,2047,6414,1144027,323.94,14738,660946497,FCDK__,"1489,78"
6958,917,51366,354,144,2177,3847,6564,7148,11900,13856,9232347,9524269,7,91403,8591,6351,4906377,188.76,32770,597174600,argentum_22,"827,30"
1006,0,3387,148,13,834,329,781,930,1789,1724,82324,386952,4,14552,297,663,255148,56.22,1757,634187175,RenamedUser_76815202,"50,00"
559,0,5613,344,24,1614,428,616,812,1047,1452,619497,1109764,7,9318,631,2664,499066,182.87,3262,505534728,Kuciakus,"383,05"
7713,23,27263,320,53,2058,982,3299,3783,4321,7135,2918110,4702008,8,53013,3756,4289,2285801,226.52,11621,604395247,Gertsaginya,"535,87"
4066,385,23313,383,51,2025,1141,2514,2535,2817,5100,2524531,3322831,7,40960,3175,4397,1955252,175.85,14750,553616251,markan99_sniper,"787,48"
11585,51,46534,317,68,1655,1504,4509,4591,3085,9168,4449378,5869602,8,80765,5849,4248,2908699,195.58,30798,631277206,bili_zashhitnik,"818,32"
1575,0,12899,659,6,2463,270,548,359,2783,913,791475,534307,8,20580,1354,3951,601875,222.8,9606,631335573,RenamedUser_57923394,"2514,45"
1091,0,5638,207,17,1057,319,765,798,1378,1580,236151,487686,5,18191,581,1763,327635,83.1,2952,621845219,Che_Guevara_2016_,"265,39"
1424,73,12877,497,32,2682,416,1100,1181,1850,2313,1607749,2236883,6,20701,1219,5398,1149799,185.27,7923,568413515,Setolele27,"785,64"
1611,0,7602,289,12,1356,282,849,918,2756,1779,670795,1391472,6,12972,886,3153,514132,188.56,4942,514106560,niemieckiczolgpz3,"496,58"
54913,7169,170555,401,555,2270,10822,25788,27509,33527,53852,32588380,40336064,8,326262,30575,5606,21583130,239.41,111702,515276603,broscoi1,"724,57"
968,0,4007,200,12,953,283,839,1047,889,1898,224348,846519,4,10904,411,1244,379193,98.38,2495,506755210,pabblo1982,"50,26"
3082,0,9331,188,39,1149,468,1620,1790,3663,3449,545113,1645066,6,25267,1160,0,647412,0.0,0,504854169,rambogroeneweg,"159,41"
459,0,4721,251,7,1046,234,410,395,419,812,182629,293966,5,9271,402,1387,204053,99.62,2850,556215574,Frano20,"475,41"
253,0,1185,118,19,606,339,541,700,1544,1260,62320,417249,6,3230,144,0,148482,21.0,0,655029328,RenamedUser_12486691,"31,62"
1121,0,7108,355,9,2090,238,600,584,702,1193,487143,659306,7,12302,772,3765,423072,165.73,4655,606359284,Chymak_58547969,"851,54"
1998,1,14123,396,13,2273,261,655,543,532,1211,638230,462529,11,23557,1497,2907,479861,153.29,9248,601787102,TT_980,"1629,45"
313,0,2993,459,21,1509,151,310,407,998,738,385683,744587,4,4292,286,3074,338731,167.29,1639,580554560,MONARCH_250,"417,27"
7096,62,36699,329,91,1833,2000,4098,4323,5443,8512,3858471,5066588,10,63032,5008,3475,2801345,168.23,24354,596327612,MUXAMOR_15,"740,67"
2435,0,5767,159,29,1176,390,1421,1702,2731,3152,246340,1078169,6,15438,491,1391,500423,79.71,3087,633604692,adamik1977,"52,64"
9512,44,35966,496,132,2469,1980,3752,3962,11750,7846,6416264,6615371,7,62933,5513,4459,3890254,307.6,1342,501774934,Persequi,"1087,78"
29533,964,210726,514,508,2490,10755,16727,15587,46502,32822,35133572,30880072,11,337972,30289,7376,16868602,295.52,61330,500267026,EDI_56,"1432,11"
8074,255,26789,264,47,1431,1341,3740,4153,7752,7940,2288299,4476985,7,52247,3081,2988,2095584,185.89,16585,595245660,ostapenko573_sashulya,"387,52"
879,0,2499,365,5,1463,98,291,311,386,607,283589,442003,5,4017,355,2294,221315,357.88,1603,610872453,bioshock_4,"800,11"
765,307,2735,470,15,1527,160,250,262,678,527,377629,190079,6,7511,442,3911,247613,166.38,1347,636384887,rakelo_2_2020,"1361,24"
3359,22,27243,504,68,2153,1353,2469,2760,4950,5297,5246347,6025617,7,37886,3536,5671,2671167,243.73,18995,530094827,stszelecz,"1046,31"
28628,2534,100168,442,338,2193,6572,13607,14761,49187,28706,17118028,22243071,8,168543,14927,5752,12689215,211.29,68560,509433603,franchino975,"699,83"
14449,931,98963,595,224,2303,5609,9103,8712,9429,18039,18867740,18849824,9,150824,14764,6705,10739306,352.19,67571,600817445,PATHFINDER_ALX,"1213,85"
2707,2,13871,288,71,1313,1038,1756,1966,8337,3793,1652249,2659087,6,26460,2134,2336,1091656,246.75,1881,501680749,drm85,"548,88"
4603,0,26156,313,60,1523,1230,3076,3492,8666,6628,2452383,5117630,8,48923,2745,3470,2071256,167.5,15827,600724172,vitos40,"425,85"
35903,2457,175190,413,448,2189,9512,19129,20748,13270,40325,24904641,34302520,8,313352,21057,5689,16647792,239.88,113444,521583984,NESTOS07,"745,55"
2313,0,17488,434,43,2040,984,1561,1425,8027,3029,1981660,1909754,9,26298,2707,2279,1315828,435.44,62,500534730,vtrxd,"1163,82"
4974,177,26687,468,68,1892,1338,2538,2654,3149,5260,3934920,6009407,6,39848,2906,5538,2461550,304.11,15880,562490382,Admiral_Adonis93,"875,56"
1647,0,12393,211,25,1353,529,1159,1399,5096,2583,589500,1116866,6,30861,1045,2910,544950,129.02,3475,622391333,Nikitos_Lixoy,"347,99"
2196,0,7843,202,15,1315,471,966,1088,723,2069,398985,449373,5,23042,799,2406,417288,121.75,3782,502705419,harrierjack,"376,09"
491,0,3156,147,12,702,203,348,362,1542,722,86997,95684,7,8717,438,323,105881,93.0,15,510948062,dominikbshudec,"360,78"
40415,840,190363,540,555,2487,10466,19237,18292,36186,38084,38861108,36662618,9,289736,30034,7291,20552416,505.98,120465,595117875,K_O_D_A_K,"1257,17"
9492,551,58917,426,169,2010,3325,6462,8793,14045,15424,8343612,13478931,7,132364,6380,5948,6571924,214.12,33985,505302691,Rene787,"481,62"
2408,465,25265,482,57,2484,1431,2173,2057,6194,4287,3605665,3245016,9,42552,3623,6341,2067717,193.95,13539,500666131,styrcon,"1179,63"
22763,629,101945,468,252,2298,3810,8920,9671,11218,18843,18024474,25827189,9,152082,11806,5369,8813807,412.04,61743,596551886,pro100tak1972,"946,84"
53989,2264,375223,515,834,3031,20579,30713,29489,79569,61036,53966518,52419156,11,612617,54609,6469,31404904,281.2,207284,505330896,Koval07,"1222,32"
13590,447,133532,292,330,1847,6710,10350,11981,18343,22661,8360458,14040716,8,233501,10915,4116,6622788,170.12,68830,506160902,Carolus_Rex12,"479,51"
2945,0,20000,146,68,1054,954,2482,2923,1853,5473,474416,1214348,6,97385,1852,1329,799885,57.07,10800,515599878,EdennAirForce,"73,83"
42964,479,179899,534,378,3085,6968,15653,14947,32269,30978,25148815,24822645,11,272852,24177,8307,16542806,385.4,54596,503314583,Niagara_falls,"1259,07"
84572,1029,343434,801,551,3359,13609,25145,19945,59256,45641,64158167,45516418,11,520229,49070,8738,36542288,590.01,254395,604861711,A6ra4am,"2117,11"
13963,296,66403,650,103,2810,2519,5076,4761,6110,9940,11523907,10182602,8,97889,8674,7586,6460785,486.57,46180,547039134,kubasekCZYolo,"1560,70"
305,0,2486,308,1,1544,123,284,258,598,543,141485,177077,5,4148,335,2220,167128,93.38,1669,609544712,AttaCk_Fuuury,"577,35"
9857,89,55958,484,151,2304,2481,4966,5120,8103,10237,9141434,9536218,10,84029,7896,7247,4958600,399.54,25708,500365962,Kopytko65,"1236,57"
4609,202,28744,513,91,2034,1285,2555,3141,3655,5787,4550913,6354526,8,46978,3023,6303,2965974,285.96,17372,508569506,BisepsTRTwitch,"824,68"
4155,3137,64311,485,246,2120,5593,7210,7670,8308,15126,8812482,7188534,7,136986,11007,5482,7335601,119.65,39623,538164477,black_thunder_invader,"762,38"
7304,0,33998,434,83,2237,872,2958,3145,3283,6186,5018977,6905333,8,55796,3606,6280,2687795,317.86,23011,552107960,husein998,"990,08"
3518,0,23987,458,46,2372,1275,2204,2309,7363,4559,2657744,2984797,11,37463,3357,4684,2086059,208.25,14443,507306260,TheHellbringer,"934,11"
5362,1198,30948,527,91,2075,1653,3167,3085,3754,6343,6697053,5964147,8,55397,4186,6158,3343232,291.31,16728,596674527,Online_vin,"1223,80"
891,0,3177,150,12,985,216,579,714,1127,1305,115018,461801,3,10326,290,1087,195254,80.14,2015,519572079,34EMEPANZER,"41,41"
9662,382,63162,537,95,2765,2530,5242,5042,15659,10379,9068548,8860439,11,95433,7771,6815,5568506,248.03,41538,546490546,Pawahtuun,"1259,32"
14376,655,71802,518,187,2367,3005,6454,7384,19140,14025,12391499,16703049,7,113426,8170,6715,7263113,348.46,44292,560903480,xXMegalodoNXxc,"892,55"
8361,0,45012,421,79,2341,1811,4386,5667,6252,10132,6128198,7968743,7,69559,5568,5365,4267726,200.42,30766,501745323,ElPlato,"740,74"
15359,379,76674,431,136,2344,2491,6171,5673,19485,11980,10159057,10376494,10,110506,9738,5958,5167478,302.97,34489,501980023,AGR089,"1382,44"
629,0,3570,154,10,939,149,484,561,1007,1055,86612,228629,6,10003,312,1198,162492,54.29,1980,519817308,_david0220_,"57,28"
2864,0,22090,240,49,1356,1266,2501,2769,5013,5319,1506000,2366170,7,53351,2632,2588,1276566,122.62,7377,502017946,Cenola,"472,72"
3069,27,20297,352,58,1540,1758,2800,2457,7700,5315,3710224,2929903,7,39483,4425,4886,1869677,246.65,7633,505053342,SingleTank,"1213,01"
15739,759,81244,419,229,2145,4014,9595,10533,21136,20357,11447057,16839939,7,130153,10813,5084,8536745,214.39,52255,594896554,_T_S_V_16,"712,48"
254,0,2903,145,10,638,215,336,364,608,710,69028,116533,5,8339,335,0,103241,0.0,0,620448133,RenamedUser_5567718,"170,32"
